"Continent ID","Continent","Country ID","Country","Year","Quarter ID","Quarter","Month ID","Month","Trade Value","Growth Value","Growth Percentage","Share"
"sa","América del Sur","bol","Bolivia",2023,20231,"2023-Q1",202301,"2023-01",9989000,-3486000,-0.2587012987012987,0.02347158100025215
"sa","América del Sur","bra","Brasil",2023,20231,"2023-Q1",202301,"2023-01",321586000,1232000,0.003845745643881456,0.7556443935876553
"sa","América del Sur","chl","Chile",2023,20231,"2023-Q1",202301,"2023-01",86737000,-110350000,-0.559905016566288,0.20380964272888885
"sa","América del Sur","col","Colombia",2023,20231,"2023-Q1",202301,"2023-01",225488000,-71084000,-0.23968547266768273,0.5298388083476682
"sa","América del Sur","ecu","Ecuador",2023,20231,"2023-Q1",202301,"2023-01",39373000,-8938000,-0.18500962513713232,0.09251642393862528
"sa","América del Sur","guy","Guayana",2023,20231,"2023-Q1",202301,"2023-01",3258000,231000,0.07631318136769079,0.00765546209819016
"sa","América del Sur","per","Perú",2023,20231,"2023-Q1",202301,"2023-01",88053000,-60251000,-0.406266857266156,0.20690190427622412
"sa","América del Sur","pry","Paraguay",2023,20231,"2023-Q1",202301,"2023-01",11730000,3016000,0.34610970851503325,0.027562483244865127
"sa","América del Sur","ury","Uruguay",2023,20231,"2023-Q1",202301,"2023-01",26321000,-13886000,-0.3453627477802373,0.06184758068952216
"sa","América del Sur","ven","Venezuela",2023,20231,"2023-Q1",202301,"2023-01",15333000,-3417000,-0.18224,0.036028606614963085
